-40	-15	1.0202700367207829
-30	-15	1.0199606895483324
-20	-15	1.0191231891232224
-10	-15	1.0182609285608846
10	-15	1.0182609285608846
20	-15	1.0191231891232224
30	-15	1.0199606895483324
40	-15	1.0202700367207829
-30	-25	1.0183381523507844
-20	-25	1.0169484449972446
-10	-25	1.0159868101603418
10	-25	1.0159868101603418
20	-25	1.0169484449972446
30	-25	1.0183381523507844
-20	-35	1.0174480446497156
-10	-35	1.0154772657498632
10	-35	1.0154772657498632
20	-35	1.0174480446497156
-10	-45	1.0156171008095796
10	-45	1.0156171008095796
